Bandit,Reward,Algorithm
0,0,ThompsonSampling
1,0,ThompsonSampling
2,0,ThompsonSampling
3,1,ThompsonSampling
4,0,ThompsonSampling
5,1,ThompsonSampling
6,0,ThompsonSampling
7,1,ThompsonSampling
8,0,ThompsonSampling
9,1,ThompsonSampling
10,1,ThompsonSampling
11,0,ThompsonSampling
12,0,ThompsonSampling
13,0,ThompsonSampling
14,0,ThompsonSampling
15,1,ThompsonSampling
16,0,ThompsonSampling
17,0,ThompsonSampling
18,1,ThompsonSampling
19,0,ThompsonSampling
20,0,ThompsonSampling
21,0,ThompsonSampling
22,1,ThompsonSampling
23,0,ThompsonSampling
24,0,ThompsonSampling
25,0,ThompsonSampling
26,0,ThompsonSampling
27,0,ThompsonSampling
28,0,ThompsonSampling
29,0,ThompsonSampling
30,1,ThompsonSampling
31,1,ThompsonSampling
32,0,ThompsonSampling
33,0,ThompsonSampling
34,1,ThompsonSampling
35,0,ThompsonSampling
36,1,ThompsonSampling
37,0,ThompsonSampling
38,0,ThompsonSampling
39,0,ThompsonSampling
40,1,ThompsonSampling
41,0,ThompsonSampling
42,1,ThompsonSampling
43,0,ThompsonSampling
44,0,ThompsonSampling
45,0,ThompsonSampling
46,1,ThompsonSampling
47,1,ThompsonSampling
48,0,ThompsonSampling
49,1,ThompsonSampling
50,1,ThompsonSampling
51,0,ThompsonSampling
52,0,ThompsonSampling
53,0,ThompsonSampling
54,1,ThompsonSampling
55,0,ThompsonSampling
56,1,ThompsonSampling
57,0,ThompsonSampling
58,0,ThompsonSampling
59,0,ThompsonSampling
60,0,ThompsonSampling
61,1,ThompsonSampling
62,1,ThompsonSampling
63,1,ThompsonSampling
64,0,ThompsonSampling
65,0,ThompsonSampling
66,0,ThompsonSampling
67,0,ThompsonSampling
68,1,ThompsonSampling
69,0,ThompsonSampling
70,1,ThompsonSampling
71,1,ThompsonSampling
72,1,ThompsonSampling
73,0,ThompsonSampling
74,0,ThompsonSampling
75,0,ThompsonSampling
76,0,ThompsonSampling
77,1,ThompsonSampling
78,1,ThompsonSampling
79,0,ThompsonSampling
80,1,ThompsonSampling
81,0,ThompsonSampling
82,1,ThompsonSampling
83,0,ThompsonSampling
84,1,ThompsonSampling
85,0,ThompsonSampling
86,0,ThompsonSampling
87,0,ThompsonSampling
88,0,ThompsonSampling
89,1,ThompsonSampling
90,1,ThompsonSampling
91,1,ThompsonSampling
92,1,ThompsonSampling
93,0,ThompsonSampling
94,1,ThompsonSampling
95,1,ThompsonSampling
96,0,ThompsonSampling
97,0,ThompsonSampling
98,0,ThompsonSampling
99,0,ThompsonSampling
100,0,ThompsonSampling
101,0,ThompsonSampling
102,0,ThompsonSampling
103,0,ThompsonSampling
104,0,ThompsonSampling
105,1,ThompsonSampling
106,1,ThompsonSampling
107,0,ThompsonSampling
108,0,ThompsonSampling
109,0,ThompsonSampling
110,0,ThompsonSampling
111,0,ThompsonSampling
112,0,ThompsonSampling
113,0,ThompsonSampling
114,1,ThompsonSampling
115,0,ThompsonSampling
116,0,ThompsonSampling
117,0,ThompsonSampling
118,0,ThompsonSampling
119,0,ThompsonSampling
120,1,ThompsonSampling
121,1,ThompsonSampling
122,0,ThompsonSampling
123,0,ThompsonSampling
124,1,ThompsonSampling
125,0,ThompsonSampling
126,0,ThompsonSampling
127,1,ThompsonSampling
128,0,ThompsonSampling
129,0,ThompsonSampling
130,0,ThompsonSampling
131,0,ThompsonSampling
132,0,ThompsonSampling
133,0,ThompsonSampling
134,0,ThompsonSampling
135,0,ThompsonSampling
136,0,ThompsonSampling
137,1,ThompsonSampling
138,0,ThompsonSampling
139,1,ThompsonSampling
140,0,ThompsonSampling
141,1,ThompsonSampling
142,0,ThompsonSampling
143,0,ThompsonSampling
144,1,ThompsonSampling
145,0,ThompsonSampling
146,1,ThompsonSampling
147,0,ThompsonSampling
148,1,ThompsonSampling
149,0,ThompsonSampling
150,1,ThompsonSampling
151,1,ThompsonSampling
152,0,ThompsonSampling
153,0,ThompsonSampling
154,1,ThompsonSampling
155,0,ThompsonSampling
156,0,ThompsonSampling
157,0,ThompsonSampling
158,0,ThompsonSampling
159,0,ThompsonSampling
160,0,ThompsonSampling
161,1,ThompsonSampling
162,1,ThompsonSampling
163,1,ThompsonSampling
164,0,ThompsonSampling
165,1,ThompsonSampling
166,0,ThompsonSampling
167,0,ThompsonSampling
168,0,ThompsonSampling
169,0,ThompsonSampling
170,0,ThompsonSampling
171,1,ThompsonSampling
172,0,ThompsonSampling
173,0,ThompsonSampling
174,0,ThompsonSampling
175,0,ThompsonSampling
176,0,ThompsonSampling
177,0,ThompsonSampling
178,1,ThompsonSampling
179,0,ThompsonSampling
180,1,ThompsonSampling
181,0,ThompsonSampling
182,0,ThompsonSampling
183,0,ThompsonSampling
184,1,ThompsonSampling
185,0,ThompsonSampling
186,0,ThompsonSampling
187,1,ThompsonSampling
188,0,ThompsonSampling
189,0,ThompsonSampling
190,1,ThompsonSampling
191,1,ThompsonSampling
192,0,ThompsonSampling
193,0,ThompsonSampling
194,0,ThompsonSampling
